_name,Icon,CompanionName,LocalizationKey,DescriptionKey,Type,Type__enum,Rarity,Rarity__enum,Details,Prefab,MoveSpeed,FollowDistance,MinDistance,InitialDelay,Cooldown,EffectDuration,Level,DamageBase,DamageScaler,HealBase,HealScaler,SlowDuration,SlowAmount,ProjectileSpeed,ProjectilePrefab,BombRadius,BombProjectileSpeed,BombTravelDuration,BombArcHeight,BombExplosionDuration,BurnEnabled,BurnDuration,BurnTickDamage,MultiSlowChainCount,ChainHealSpeed,ChainHealDuration,HealTickInterval,LightningChainCount,LightningSpeed,LightningDuration,LightningTickInterval,ShootSound,ShootVolume,ProjectileHitVolume,ProjectileImpactVolume,EffectActiveSoundVolume,LoopEffectActiveSound,BeamSpeed,BeamDuration,BeamTickInterval,GuardianActiveDuration,GuardianHealAmount,GuardianBlockChance,AoeSlowRadius,AoeSlowProjectileSpeed,AoeSlowArcHeight,AoeSlowExplosionDuration,BlasterRange,BlasterFireDuration,BlasterWaveCount,BlasterConeAngle,MeteorBombCount,MeteorOffsetRange,MeteorBombDelay,MeteorDropHeight,SiphonProjectileSpeed,SiphonSineAmplitude,SiphonSineFrequency,OwnAttackBase,OwnAttackScaler,OwnHealthBase,OwnHealthScaler,HealNovaStartRadius,HealNovaEndRadius,HealNovaDuration,HealNovaTickInterval,HealNovaDamageBase,HealNovaDamageScaler,CloneHealthPercent,CloneHealthPercentScaler,CloneLifetime,CloneGridSearchCount,CloneWalkDuration,CloneTintAmount,CloneAlpha,CloneBrightness,ImmortalityDuration,ImmortalityDurationScaler,EffectActiveSound,BombPrefab,BombExplosionPrefab,ProjectileImpactSound,MultiSlowImpactPrefab,ProjectileHitSound,AoeSlowProjectilePrefab,AoeSlowExplosionPrefab,SiphonProjectilePrefab
Companion_1_Common_DPS_Single,ref:e837c5c99a263a44fa814788621f8e17,Ember Fist,Items.Companion.Name.Companion_1_Common_DPS_Single,Items.Companion.Desc.Companion_1_Common_DPS_Single,0,DPS,0,Common,Launches flames that deal <Value> Damage.,ref:50954bed30939324890fdf73a560a7ef,2,3,1.2,0,2.9,0.1,1,90,4.5,10,5,0,0.9,10,ref:6c98eedd07fdb20489c44a81da395c9d,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ref:02d049b187c2e794289e5eda82a67c7d,0.4,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,10,0.5,30,1.5,0.5,5,2,0.1,100,10,5,0.5,10,8,0.6,1,0.7,1.3,5,0.2,,,,,,,,,
Companion_1_Common_Heal_Single,ref:d1251c80929d9144096e213150f73ecf,Magic Wool,Items.Companion.Name.Companion_1_Common_Heal_Single,Items.Companion.Desc.Companion_1_Common_Heal_Single,1,Healer,0,Common,Fires a healing projectile that restores <Value> Health.,ref:7b270ac47f2063447b4b7216c819b32a,2,3,1.2,0,1.9,0.1,1,50,10,60,3,0,0.9,8,ref:07a6cea59418d6449b82c714020fb2e5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ref:15d6788b38f068a4fa9bbb0ebb87851f,0.4,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,5,0.25,50,2.5,0.5,5,2,0.1,100,10,5,0.5,10,8,0.6,1,0.7,1.3,5,0.2,,,,,,,,,
Companion_1_Common_Lightning_Single,ref:9d70a208cb0e2774a93c3c5282d4c31c,Spark Mouse,Items.Companion.Name.Companion_1_Common_Lightning_Single,Items.Companion.Desc.Companion_1_Common_Lightning_Single,3,Lightning,0,Common,Fires a lightning arc that deals <Value> Damage every second.,ref:3cefea24f15049d46a47a2fca20e0a1d,2,2,1.2,0,3,1,1,12,0.6,10,5,0,0.9,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,30,1,0.2,,0.4,1,1,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,15,0.75,20,1,0.5,5,2,0.1,100,10,5,0.5,10,8,0.6,1,0.7,1.3,5,0.2,ref:14370dac956b0404e9dc28352007a025,,,,,,,,
Companion_2_Uncommon_Bomber_AOE_Bomb,ref:c516750714d3d974b8f42eb721177c59,Flame Wing,Items.Companion.Name.Companion_2_Uncommon_Bomber_AOE_Bomb,Items.Companion.Desc.Companion_2_Uncommon_Bomber_AOE_Bomb,5,Bomber,1,Uncommon,Triggers an explosion that deals <Value> Area Damage.,ref:c37c817c47a530c44996bf7b0ec4bed9,2,3,1.2,0,7.9,0.1,1,240,12,10,5,0,0.9,5,ref:8fc6f3ff720041449b9d33d70d3e5417,2,7,1.25,2.5,2,0,2,20,0,0,0,1,0,0,0,0,ref:0e39ffe4234b12c41a61a2dd00cde76e,0.4,1,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,45,2.25,60,3,0.5,5,2,0.1,100,10,5,0.5,10,8,0.6,1,0.7,1.3,5,0.2,,ref:26ceae3633a4b6d44b6564db5f75b007,ref:6da21aa16b09a3141ad1a65f9f434ba5,ref:c78de853a5bda564c91970b31943f5e2,,,,,
Companion_2_Uncommon_Heal_Chain,ref:85bc2455594b67e4ab6d4c8f5fe39684,Life Horn,Items.Companion.Name.Companion_2_Uncommon_Heal_Chain,Items.Companion.Desc.Companion_2_Uncommon_Heal_Chain,4,ChainHealer,1,Uncommon,Fires a continuous healing ray that restores <Value> Health per second.,ref:5612737f50ba71549ac67232944b79d9,2,3,1.2,1,4.9,0.1,1,50,10,90,4.5,0,0.9,0,,0,0,0,0,0,0,0,0,0,12,3,0.1,0,0,0,0,,0.4,1,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,15,0.75,150,7.5,0.5,5,2,0.1,100,10,5,0.5,10,8,0.6,1,0.7,1.3,5,0.2,ref:f2605cea72412814085d1e142c20f85f,,,,,,,,
Companion_2_Uncommon_Slow_Single,ref:655ae4d1d56fad64a9e1ed6003f07b6d,Snow Fang,Items.Companion.Name.Companion_2_Uncommon_Slow_Single,Items.Companion.Desc.Companion_2_Uncommon_Slow_Single,2,Slower,1,Uncommon,Fires an ice ball that deals <Value> Damage and slows the target by <Value>%.,ref:0bc5728e152cd8944a58b8a20683c676,2,3,1.2,0,2,2,1,900,45,10,5,2,0.5,12,ref:d8e293e3ae716674ab87c0d4d65f5ca0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ref:9877e481fc3d8604b9f72920ef274929,0.4,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,30,1.5,90,4.5,0.5,5,2,0.1,100,10,5,0.5,10,8,0.6,1,0.7,1.3,5,0.2,,,,,,,,,
Companion_3_Rare_Bomber_AOE_Burn,ref:b56318752216c0240b51431c55a0eb1a,Blaze Tail,Items.Companion.Name.Companion_3_Rare_Bomber_AOE_Burn,Items.Companion.Desc.Companion_3_Rare_Bomber_AOE_Burn,5,Bomber,2,Rare,Triggers an explosion that deals <Value> Area Damage and burns targets for <Value> seconds.,ref:518817ee8bf910d4399c7992eae4e761,2,3,1.2,0,7.9,0.1,1,1800,90,10,5,0,0.9,5,ref:8fc6f3ff720041449b9d33d70d3e5417,2,7,1.25,2.5,2,1,2,600,0,0,0,1,0,0,0,0,ref:0e39ffe4234b12c41a61a2dd00cde76e,0.4,1,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,450,22.5,600,30,0.5,5,2,0.1,100,10,5,0.5,10,8,0.6,1,0.7,1.3,5,0.2,,ref:26ceae3633a4b6d44b6564db5f75b007,ref:6da21aa16b09a3141ad1a65f9f434ba5,ref:c78de853a5bda564c91970b31943f5e2,,,,,
Companion_3_Rare_Lightning_Multi,ref:61ef6fab57a3a45448f904749d6d8b4e,Storm Eye,Items.Companion.Name.Companion_3_Rare_Lightning_Multi,Items.Companion.Desc.Companion_3_Rare_Lightning_Multi,3,Lightning,2,Rare,"Fires a lightning arc that chains to multiple enemies, dealing <Value> Damage.",ref:ae3e71fc1fd092b419d8bbecb6627e02,2,2,1.2,0,5,2,2,135,6.75,10,5,0,0.9,2,,0,0,0,0,0,0,0,0,0,0,0,1,2,30,2,0.2,,0.4,1,1,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,300,15,900,45,0.5,5,2,0.1,100,10,5,0.5,10,8,0.6,1,0.7,1.3,5,0.2,ref:14370dac956b0404e9dc28352007a025,,,,,,,,
Companion_3_Rare_Slow_Multi,ref:ef97073870e83f64a8a5a9e7729929f2,Frost Claw,Items.Companion.Name.Companion_3_Rare_Slow_Multi,Items.Companion.Desc.Companion_3_Rare_Slow_Multi,6,MultiSlower,2,Rare,Fires an ice ball that splits dealing <Value> Area Damage and slows targets by <Value>%.,ref:ab2a131e30e660c48b2471812ed21436,2,3,1.2,0,9.9,0.1,1,1000,50,10,5,2,0.5,12,ref:d8e293e3ae716674ab87c0d4d65f5ca0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,ref:9877e481fc3d8604b9f72920ef274929,0.4,0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,150,7.5,1500,75,0.5,5,2,0.1,100,10,5,0.5,10,8,0.6,1,0.7,1.3,5,0.2,,,,,ref:001cd525e73003c4d8e1926da20a018c,ref:c107b0ecca8f9f3438f6b3dd231801be,,,
Companion_4_Epic_Beam_Single,ref:2aa7de12653177c4197ed5804d9bf099,Arcane Paw,Items.Companion.Name.Companion_4_Epic_Beam_Single,Items.Companion.Desc.Companion_4_Epic_Beam_Single,7,Beam,3,Epic,Fires a continuous magical beam that deals <Value> Damage per second.,ref:679e5e91f1095d04b83b58517512ed1f,2,2,1.2,0,5.9,0.1,1,4500,225,10,5,0,0.9,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,30,1,0.2,,0.4,1,1,0.2,1,60,1.5,0.25,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,4500,225,6000,300,0.5,5,2,0.1,100,10,5,0.5,10,8,0.6,1,0.7,1.3,5,0.2,ref:dd037122d22dabd4f8f8744edb18c6b3,,,,,,,,
