key,ar,en,fr,ge,ja,ko,po,sp,tu,ta
Clan.AdvancedSearch.HideApprovalOnly,إخفاء التي تتطلب موافقة,Hide Approval Only,Masquer les clans sur approbation,Clans mit Genehmigung ausblenden,承認制クランを非表示,승인제 클랜 숨기기,Ocultar clãs com aprovação,Ocultar clanes con aprobación,Onay Gerektirenleri Gizle,Nascondi clan su approvazione
Clan.AdvancedSearch.MaxMember,الحد الأقصى للأعضاء,Max Member,Membres max.,Max. Mitglieder,最大メンバー数,최대 멤버,Membros máx.,Miembros máx.,Maks. Üye,Membri max.
Clan.AdvancedSearch.MinMember,الحد الأدنى للأعضاء,Min Member,Membres min.,Min. Mitglieder,最小メンバー数,최소 멤버,Membros mín.,Miembros mín.,Min. Üye,Membri min.
Clan.AdvancedSearch.Search,بحث,Search,Rechercher,Suchen,検索,검색,Buscar,Buscar,Ara,Cerca
Clan.AdvancedSearch.Title,البحث عن عشيرة,Clan Search,Recherche de clan,Clansuche,クラン検索,클랜 검색,Busca de clãs,Búsqueda de clanes,Klan Arama,Ricerca clan
Clan.Announcement.Placeholder,الإعلان...,Announcement...,Annonce...,Ankündigung...,お知らせ...,공지...,Anúncio...,Anuncio...,Duyuru...,Annuncio...
Clan.Announcement.Title,تعديل الإعلان,Edit Announcement,Modifier l'annonce,Ankündigung bearbeiten,お知らせを編集,공지 수정,Editar anúncio,Editar anuncio,Duyuruyu Düzenle,Modifica annuncio
Clan.Banner.Apply,تطبيق,Apply,Appliquer,Anwenden,適用,적용,Aplicar,Aplicar,Uygula,Applica
Clan.Banner.BackgroundColor,لون الخلفية,Background Color,Couleur de fond,Hintergrundfarbe,背景色,배경 색상,Cor de fundo,Color de fondo,Arka Plan Rengi,Colore di sfondo
Clan.Banner.EmblemColor,لون الشعار,Emblem Color,Couleur de l'emblème,Emblemfarbe,エンブレムの色,엠블럼 색상,Cor do emblema,Color del emblema,Amblem Rengi,Colore dell'emblema
Clan.Banner.EmblemShape,شكل الشعار,Emblem Shape,Forme de l'emblème,Emblemform,エンブレムの形,엠블럼 모양,Forma do emblema,Forma del emblema,Amblem Şekli,Forma dell'emblema
Clan.Banner.Shape,الشكل,Shape,Forme,Form,形,모양,Forma,Forma,Şekil,Forma
Clan.Banner.Title,محرر راية العشيرة,Clan Banner Editor,Éditeur de bannière du clan,Clanbanner-Editor,クランバナー編集,클랜 배너 편집,Editor de estandarte do clã,Editor de estandarte del clan,Klan Sancağı Düzenleyici,Editor stendardo del clan
Clan.Battle.LeadershipTitle,حرب البطولة,Championship War,Guerre de Championnat,Meisterschaftskrieg,チャンピオンシップ戦争,챔피언십 전쟁,Guerra de Campeonato,Guerra de Campeonato,Şampiyonluk Savaşı,Guerra di Campionato
Clan.Battle.Title,حرب العشائر,Clan War,Guerre de clans,Clankrieg,クラン戦,클랜전,Guerra de clãs,Guerra de clanes,Klan Savaşı,Guerra tra clan
Clan.Common.Banner,الراية,Banner,Bannière,Banner,バナー,배너,Estandarte,Estandarte,Sancak,Stendardo
Clan.Common.Browse,تصفح,Browse,Parcourir,Durchsuchen,選択,선택,Procurar,Explorar,Gözat,Sfoglia
Clan.Common.ClanName,اسم العشيرة,Clan Name,Nom du clan,Clanname,クラン名,클랜 이름,Nome do clã,Nombre del clan,Klan Adı,Nome del clan
Clan.Common.Join,انضم,Join,Rejoindre,Beitreten,参加,가입,Entrar,Unirse,Katıl,Unisciti
Clan.Common.Members,الأعضاء,Members,Membres,Mitglieder,メンバー,멤버,Membros,Miembros,Üyeler,Membri
Clan.Common.NamePlaceholder,اسم العشيرة...,Clan Name...,Nom du clan...,Clanname...,クラン名...,클랜 이름...,Nome do clã...,Nombre del clan...,Klan Adı...,Nome del clan...
Clan.Common.Power,القوة,Power,Puissance,Stärke,戦力,전투력,Poder,Poder,Güç,Potenza
Clan.Common.Public,عام,Public,Public,Öffentlich,公開,공개,Público,Público,Herkese Açık,Pubblico
Clan.Common.Request,إرسال طلب,Request,Demander,Anfragen,申請,신청,Solicitar,Solicitar,Başvur,Richiedi
Clan.Common.Requested,تم الطلب,Requested,Demandé,Angefragt,申請済み,신청됨,Solicitado,Solicitado,Başvuruldu,Richiesto
Clan.Common.Retry,إعادة المحاولة,Retry,Réessayer,Erneut versuchen,再試行,다시 시도,Tentar novamente,Reintentar,Tekrar Dene,Riprova
Clan.Common.Save,حفظ,Save,Enregistrer,Speichern,保存,저장,Salvar,Guardar,Kaydet,Salva
Clan.Common.Tier,الفئة,Tier,Rang,Stufe,ティア,티어,Categoria,Rango,Kademe,Grado
Clan.Common.Type,النوع,Type,Type,Typ,タイプ,유형,Tipo,Tipo,Tür,Tipo
Clan.Create.Button,إنشاء \n<sprite=0>{0},Create \n<sprite=0>{0},Créer \n<sprite=0>{0},Gründen \n<sprite=0>{0},作成 \n<sprite=0>{0},생성 \n<sprite=0>{0},Criar \n<sprite=0>{0},Crear \n<sprite=0>{0},Oluştur \n<sprite=0>{0},Crea \n<sprite=0>{0}
Clan.Create.Title,أدخل اسم العشيرة,Enter Clan Name,Saisis le nom du clan,Clannamen eingeben,クラン名を入力,클랜 이름 입력,Digite o nome do clã,Introduce el nombre del clan,Klan Adını Gir,Inserisci il nome del clan
Clan.Demote,تخفيض الرتبة,Demote,Rétrograder,Degradieren,降格,강등,Rebaixar,Degradar,Rütbe Düşür,Retrocedi
Clan.Description.Placeholder,الوصف...,Description...,Description...,Beschreibung...,説明...,설명...,Descrição...,Descripción...,Açıklama...,Descrizione...
Clan.Join.ApprovalOnly,بموافقة فقط,Approval Only,Sur approbation,Nur mit Genehmigung,承認制,승인제,Com aprovação,Con aprobación,Onay Gerekli,Su approvazione
Clan.Join.Open,مفتوح,Open,Ouvert,Offen,自由参加,자유 가입,Aberto,Abierto,Açık,Aperto
Clan.Members.NoAnnouncement,لا يوجد إعلان بعد,No announcement yet,Aucune annonce pour le moment,Noch keine Ankündigung,お知らせはまだありません,아직 공지가 없습니다,Ainda não há anúncios,Aún no hay anuncios,Henüz duyuru yok,Ancora nessun annuncio
Clan.Player.Kick,طرد,Kick,Exclure,Rauswerfen,追放,추방,Expulsar,Expulsar,At,Espelli
Clan.Player.Leave,مغادرة,Leave,Quitter,Verlassen,脱退,탈퇴,Sair,Salir,Ayrıl,Abbandona
Clan.Promote,ترقية,Promote,Promouvoir,Befördern,昇格,승급,Promover,Ascender,Terfi Ettir,Promuovi
Clan.Requests.Accept,قبول,Accept,Accepter,Annehmen,承認,수락,Aceitar,Aceptar,Kabul Et,Accetta
Clan.Requests.Deny,رفض,Deny,Refuser,Ablehnen,拒否,거절,Recusar,Rechazar,Reddet,Rifiuta
Clan.Requests.Empty,لا توجد طلبات معلقة,No pending requests,Aucune demande en attente,Keine ausstehenden Anfragen,保留中の申請はありません,대기 중인 신청이 없습니다,Nenhuma solicitação pendente,No hay solicitudes pendientes,Bekleyen başvuru yok,Nessuna richiesta in sospeso
Clan.Requests.Title,طلبات الانضمام,Requests,Demandes,Anfragen,参加申請,가입 신청,Solicitações,Solicitudes,Başvurular,Richieste
Clan.Role.Captain,كابتن,Captain,Capitaine,Offizier,キャプテン,캡틴,Capitão,Capitán,Kaptan,Capitano
Clan.Role.Leader,القائد,Leader,Chef,Anführer,リーダー,리더,Líder,Líder,Lider,Capo
Clan.Role.Member,عضو,Member,Membre,Mitglied,メンバー,멤버,Membro,Miembro,Üye,Membro
Clan.Search.Advanced,بحث متقدم,Advanced Search,Recherche avancée,Erweiterte Suche,詳細検索,고급 검색,Busca avançada,Búsqueda avanzada,Gelişmiş Arama,Ricerca avanzata
Clan.Search.Create,إنشاء عشيرة,Create Clan,Créer un clan,Clan gründen,クラン作成,클랜 생성,Criar clã,Crear clan,Klan Oluştur,Crea clan
Clan.Search.Empty,لم يتم العثور على عشائر,No clans found,Aucun clan trouvé,Keine Clans gefunden,クランが見つかりません,클랜을 찾을 수 없습니다,Nenhum clã encontrado,No se encontraron clanes,Klan bulunamadı,Nessun clan trovato
Clan.Search.Placeholder,ابحث عن عشيرة...,Search for a clan...,Rechercher un clan...,Clan suchen...,クランを検索...,클랜 검색...,Buscar um clã...,Buscar un clan...,Klan ara...,Cerca un clan...
Clan.Search.Title,انضم إلى عشيرة,Join a Clan,Rejoindre un clan,Einem Clan beitreten,クランに参加,클랜 가입,Entre em um clã,Únete a un clan,Bir Klana Katıl,Unisciti a un clan
Clan.Settings.Description,الوصف,Description,Description,Beschreibung,説明,설명,Descrição,Descripción,Açıklama,Descrizione
Clan.Settings.Requests,طلبات الانضمام,Requests,Demandes,Anfragen,参加申請,가입 신청,Solicitações,Solicitudes,Başvurular,Richieste
Clan.Settings.Title,إعدادات العشيرة,Clan Settings,Paramètres du clan,Clan-Einstellungen,クラン設定,클랜 설정,Configurações do clã,Ajustes del clan,Klan Ayarları,Impostazioni del clan
Clan.Tab.Battle,معركة,Battle,Bataille,Kampf,バトル,전투,Batalha,Batalla,Savaş,Battaglia
Clan.Tab.Members,الأعضاء,Members,Membres,Mitglieder,メンバー,멤버,Membros,Miembros,Üyeler,Membri
Clan.War.Action.DungeonKey,استخدم مفتاح الزنزانة,Use Dungeon Key,Utiliser une clé de donjon,Dungeon-Schlüssel verwenden,ダンジョンキーを使用,던전 열쇠 사용,Usar chave da masmorra,Usar llave de mazmorra,Zindan Anahtarı Kullan,Usa una chiave del dungeon
Clan.War.Action.LevelUp,رفع المستوى,Level Up,Monter de niveau,Levelaufstieg,レベルアップ,레벨 업,Subir de nível,Subir de nivel,Seviye Atla,Sali di livello
Clan.War.Action.LevelUp.Formula,المستوى الجديد × 100 نقطة,New Level x 100 pts,Nouveau niveau x 100 pts,Neues Level x 100 Pkt.,新レベル x 100 ポイント,새 레벨 x 100 점,Novo nível x 100 pts,Nuevo nivel x 100 pts,Yeni Seviye x 100 puan,Nuovo livello x 100 pti
Clan.War.Action.Loot.Ancient,انهب معدات قديمة,Loot Ancient Equipment,Piller un équipement ancien,Uralte Ausrüstung erbeuten,エンシェント装備を獲得,고대 장비 획득,Saquear equipamento ancestral,Saquear equipo antiguo,Kadim Ekipman Yağmala,Ottieni equipaggiamento antico
Clan.War.Action.Loot.Artifact,انهب معدات أثرية,Loot Artifact Equipment,Piller un équipement artefact,Artefakt-Ausrüstung erbeuten,アーティファクト装備を獲得,유물 장비 획득,Saquear equipamento artefato,Saquear equipo artefacto,Artefakt Ekipman Yağmala,Ottieni equipaggiamento artefatto
Clan.War.Action.Loot.Common,انهب معدات شائعة,Loot Common Equipment,Piller un équipement commun,Gewöhnliche Ausrüstung erbeuten,コモン装備を獲得,일반 장비 획득,Saquear equipamento comum,Saquear equipo común,Sıradan Ekipman Yağmala,Ottieni equipaggiamento comune
Clan.War.Action.Loot.Divine,انهب معدات إلهية,Loot Divine Equipment,Piller un équipement divin,Göttliche Ausrüstung erbeuten,ディヴァイン装備を獲得,신성 장비 획득,Saquear equipamento divino,Saquear equipo divino,İlahi Ekipman Yağmala,Ottieni equipaggiamento divino
Clan.War.Action.Loot.Epic,انهب معدات ملحمية,Loot Epic Equipment,Piller un équipement épique,Epische Ausrüstung erbeuten,エピック装備を獲得,영웅 장비 획득,Saquear equipamento épico,Saquear equipo épico,Destansı Ekipman Yağmala,Ottieni equipaggiamento epico
Clan.War.Action.Loot.Immortal,انهب معدات خالدة,Loot Immortal Equipment,Piller un équipement immortel,Unsterbliche Ausrüstung erbeuten,イモータル装備を獲得,불멸 장비 획득,Saquear equipamento imortal,Saquear equipo inmortal,Ölümsüz Ekipman Yağmala,Ottieni equipaggiamento immortale
Clan.War.Action.Loot.Legendary,انهب معدات أسطورية,Loot Legendary Equipment,Piller un équipement légendaire,Legendäre Ausrüstung erbeuten,レジェンダリー装備を獲得,전설 장비 획득,Saquear equipamento lendário,Saquear equipo legendario,Efsanevi Ekipman Yağmala,Ottieni equipaggiamento leggendario
Clan.War.Action.Loot.Mythic,انهب معدات خرافية,Loot Mythic Equipment,Piller un équipement mythique,Mythische Ausrüstung erbeuten,ミシック装備を獲得,신화 장비 획득,Saquear equipamento mítico,Saquear equipo mítico,Mitik Ekipman Yağmala,Ottieni equipaggiamento mitico
Clan.War.Action.Loot.Rare,انهب معدات نادرة,Loot Rare Equipment,Piller un équipement rare,Seltene Ausrüstung erbeuten,レア装備を獲得,희귀 장비 획득,Saquear equipamento raro,Saquear equipo raro,Nadir Ekipman Yağmala,Ottieni equipaggiamento raro
Clan.War.Action.Loot.Uncommon,انهب معدات غير شائعة,Loot Uncommon Equipment,Piller un équipement peu commun,Ungewöhnliche Ausrüstung erbeuten,アンコモン装備を獲得,고급 장비 획득,Saquear equipamento incomum,Saquear equipo poco común,Sıra Dışı Ekipman Yağmala,Ottieni equipaggiamento non comune
Clan.War.Action.Mine.Coal,استخرج الفحم,Mine Coal,Miner du charbon,Kohle abbauen,石炭を採掘,석탄 채굴,Minerar carvão,Minar carbón,Kömür Kaz,Estrai carbone
Clan.War.Action.Mine.Diamond,استخرج الألماس,Mine Diamond,Miner du diamant,Diamant abbauen,ダイヤモンドを採掘,다이아몬드 채굴,Minerar diamante,Minar diamante,Elmas Kaz,Estrai diamante
Clan.War.Action.Mine.Emerald,استخرج الزمرد,Mine Emerald,Miner de l'émeraude,Smaragd abbauen,エメラルドを採掘,에메랄드 채굴,Minerar esmeralda,Minar esmeralda,Zümrüt Kaz,Estrai smeraldo
Clan.War.Action.Mine.Gold,استخرج الذهب,Mine Gold,Miner de l'or,Gold abbauen,金を採掘,금 채굴,Minerar ouro,Minar oro,Altın Kaz,Estrai oro
Clan.War.Action.Mine.Iron,استخرج الحديد,Mine Iron,Miner du fer,Eisen abbauen,鉄を採掘,철 채굴,Minerar ferro,Minar hierro,Demir Kaz,Estrai ferro
Clan.War.Action.Mine.Ruby,استخرج الياقوت,Mine Ruby,Miner du rubis,Rubin abbauen,ルビーを採掘,루비 채굴,Minerar rubi,Minar rubí,Yakut Kaz,Estrai rubino
Clan.War.Action.Mine.Stone,استخرج الحجر,Mine Stone,Miner de la pierre,Stein abbauen,石を採掘,돌 채굴,Minerar pedra,Minar piedra,Taş Kaz,Estrai pietra
Clan.War.Action.SummonCape.Common,استدعِ عباءة شائعة,Summon Common Cape,Invoquer une cape commune,Gewöhnlichen Umhang beschwören,コモンマントを召喚,일반 망토 소환,Invocar capa comum,Invocar capa común,Sıradan Pelerin Çağır,Evoca un mantello comune
Clan.War.Action.SummonCape.Epic,استدعِ عباءة ملحمية,Summon Epic Cape,Invoquer une cape épique,Epischen Umhang beschwören,エピックマントを召喚,영웅 망토 소환,Invocar capa épica,Invocar capa épica,Destansı Pelerin Çağır,Evoca un mantello epico
Clan.War.Action.SummonCape.Legendary,استدعِ عباءة أسطورية,Summon Legendary Cape,Invoquer une cape légendaire,Legendären Umhang beschwören,レジェンダリーマントを召喚,전설 망토 소환,Invocar capa lendária,Invocar capa legendaria,Efsanevi Pelerin Çağır,Evoca un mantello leggendario
Clan.War.Action.SummonCape.Mythic,استدعِ عباءة خرافية,Summon Mythic Cape,Invoquer une cape mythique,Mythischen Umhang beschwören,ミシックマントを召喚,신화 망토 소환,Invocar capa mítica,Invocar capa mítica,Mitik Pelerin Çağır,Evoca un mantello mitico
Clan.War.Action.SummonCape.Rare,استدعِ عباءة نادرة,Summon Rare Cape,Invoquer une cape rare,Seltenen Umhang beschwören,レアマントを召喚,희귀 망토 소환,Invocar capa rara,Invocar capa rara,Nadir Pelerin Çağır,Evoca un mantello raro
Clan.War.Action.SummonCape.Uncommon,استدعِ عباءة غير شائعة,Summon Uncommon Cape,Invoquer une cape peu commune,Ungewöhnlichen Umhang beschwören,アンコモンマントを召喚,고급 망토 소환,Invocar capa incomum,Invocar capa poco común,Sıra Dışı Pelerin Çağır,Evoca un mantello non comune
Clan.War.Action.SummonCompanion.Common,استدعِ رفيقًا شائعًا,Summon Common Companion,Invoquer un compagnon commun,Gewöhnlichen Begleiter beschwören,コモン仲間を召喚,일반 동료 소환,Invocar companheiro comum,Invocar compañero común,Sıradan Yoldaş Çağır,Evoca un compagno comune
Clan.War.Action.SummonCompanion.Epic,استدعِ رفيقًا ملحميًا,Summon Epic Companion,Invoquer un compagnon épique,Epischen Begleiter beschwören,エピック仲間を召喚,영웅 동료 소환,Invocar companheiro épico,Invocar compañero épico,Destansı Yoldaş Çağır,Evoca un compagno epico
Clan.War.Action.SummonCompanion.Legendary,استدعِ رفيقًا أسطوريًا,Summon Legendary Companion,Invoquer un compagnon légendaire,Legendären Begleiter beschwören,レジェンダリー仲間を召喚,전설 동료 소환,Invocar companheiro lendário,Invocar compañero legendario,Efsanevi Yoldaş Çağır,Evoca un compagno leggendario
Clan.War.Action.SummonCompanion.Mythic,استدعِ رفيقًا خرافيًا,Summon Mythic Companion,Invoquer un compagnon mythique,Mythischen Begleiter beschwören,ミシック仲間を召喚,신화 동료 소환,Invocar companheiro mítico,Invocar compañero mítico,Mitik Yoldaş Çağır,Evoca un compagno mitico
Clan.War.Action.SummonCompanion.Rare,استدعِ رفيقًا نادرًا,Summon Rare Companion,Invoquer un compagnon rare,Seltenen Begleiter beschwören,レア仲間を召喚,희귀 동료 소환,Invocar companheiro raro,Invocar compañero raro,Nadir Yoldaş Çağır,Evoca un compagno raro
Clan.War.Action.SummonCompanion.Uncommon,استدعِ رفيقًا غير شائع,Summon Uncommon Companion,Invoquer un compagnon peu commun,Ungewöhnlichen Begleiter beschwören,アンコモン仲間を召喚,고급 동료 소환,Invocar companheiro incomum,Invocar compañero poco común,Sıra Dışı Yoldaş Çağır,Evoca un compagno non comune
Clan.War.Actions.Title,إجراءات اليوم {0},Day {0} Actions,Actions du jour {0},Aktionen für Tag {0},{0}日目のアクション,{0}일 차 활동,Ações do dia {0},Acciones del día {0},{0}. Gün Eylemleri,Azioni del giorno {0}
